file_size,entropy,dos_header_magic,dos_header_bytes_on_last_page,dos_header_pages_in_file,nt_signature,file_header_machine,file_header_characteristics,optional_header_magic,optional_header_major_linker_version,optional_header_minor_linker_version,optional_header_size_of_code,optional_header_size_of_initialized_data,optional_header_size_of_uninitialized_data,optional_header_address_of_entry_point,optional_header_base_of_code,optional_header_image_base,optional_header_section_alignment,optional_header_file_alignment,optional_header_major_os_version,optional_header_minor_os_version,optional_header_major_image_version,optional_header_minor_image_version,optional_header_major_subsystem_version,optional_header_minor_subsystem_version,optional_header_size_of_image,optional_header_size_of_headers,optional_header_checksum,optional_header_subsystem,optional_header_dll_characteristics,number_of_sections,sections_min_entropy,sections_max_entropy,sections_mean_entropy,sections_min_rawsize,sections_max_rawsize,sections_mean_rawsize,sections_min_virtualsize,sections_max_virtualsize,sections_mean_virtualsize,number_of_imports,imports_kernel32_dll,imports_ntdll_dll,imports_advapi32_dll,imports_ws2_32_dll,number_of_exports,family,sha256_hash
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,Worm,synthetic_000000
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,Virus,synthetic_000001
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,Botnet,synthetic_000002
1397472.752902821,6.981170097457603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,16.233090239991736,1.1896792982653948,0,1.0,0.0,0,Trojan,synthetic_000003
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,Rootkit,synthetic_000004
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,Rootkit,synthetic_000005
0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,Virus,synthetic_000006
1305871.258293121,6.584427129328805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,21.072053069809716,1.0840171159278427,0,0.0,0.0,0,Spyware,synthetic_000007
1658294.5679593638,7.80289869228419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,48.42103696455872,1.1516233322933895,0,0.0,0.0,0,Trojan,synthetic_000008
1994955.9371865215,6.912097695538863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,14.949855278377756,0.9091945956429562,0,1.0,0.0,0,Trojan,synthetic_000009
